"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.769829307695738,0.0012,0.354893135338003,0.280457727877004,4.76779999523681,0.00886812346533044,0.89574051574421,1
"total_sleep_duration",-3.29410119287474e-06,1,0.354893135338003,0.280457727877004,4.76779999523681,0.00886812346533044,-0.402948359421133,1
"awake_time",-2.89035347690245e-06,1,0.354893135338003,0.280457727877004,4.76779999523681,0.00886812346533044,-0.302841094195436,1
"restless_sleep",-0.000185238377141478,0.2383,0.354893135338003,0.280457727877004,4.76779999523681,0.00886812346533044,-0.23313133440734,1
"(Intercept)1",0.693092179826277,0.1277,0.0917747817818501,-0.0130204357048596,0.875753531343062,0.466353979535016,0.755772543074071,2
"total_sleep_duration1",-2.12837809515521e-06,1,0.0917747817818501,-0.0130204357048596,0.875753531343062,0.466353979535016,-0.2540307395851,2
"awake_time1",-1.84127106448367e-06,1,0.0917747817818501,-0.0130204357048596,0.875753531343062,0.466353979535016,-0.188237702351928,2
"restless_sleep1",-3.2728969214619e-05,0.862,0.0917747817818501,-0.0130204357048596,0.875753531343062,0.466353979535016,-0.0401908365625948,2
"(Intercept)2",0.643695710983796,0.2073,0.132164185304346,0.0320292836086933,1.31986133771861,0.289223450577739,0.667768178034004,3
"total_sleep_duration2",-1.36064761437156e-06,1,0.132164185304346,0.0320292836086933,1.31986133771861,0.289223450577739,-0.18251182371014,3
"awake_time2",2.34195689208954e-06,1,0.132164185304346,0.0320292836086933,1.31986133771861,0.289223450577739,0.269076413183164,3
"restless_sleep2",-1.73749907294525e-05,0.9139,0.132164185304346,0.0320292836086933,1.31986133771861,0.289223450577739,-0.0239787835865819,3
"(Intercept)3",0.672882274061036,0.0495,0.237358289455773,0.149361169008362,2.6973415521889,0.0665112163266861,0.710714439189611,4
"total_sleep_duration3",1.78871738380951e-06,1,0.237358289455773,0.149361169008362,2.6973415521889,0.0665112163266861,0.273288253087162,4
"awake_time3",1.79694156916491e-08,1,0.237358289455773,0.149361169008362,2.6973415521889,0.0665112163266861,0.00235160613822621,4
"restless_sleep3",-0.000365523144449452,0.0101,0.237358289455773,0.149361169008362,2.6973415521889,0.0665112163266861,-0.574581110493063,4
