"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.834921220799975,0.279,0.219351685121493,0.129276879558588,2.43521685948361,0.0874140638733118,0.788813968952905,1
"total_sleep_duration",2.62239600604099e-07,1,0.219351685121493,0.129276879558588,2.43521685948361,0.0874140638733118,0.0609257231219341,1
"awake_time",7.34049019547067e-07,1,0.219351685121493,0.129276879558588,2.43521685948361,0.0874140638733118,0.146076001820475,1
"restless_sleep",0.000173583061650478,0.045,0.219351685121493,0.129276879558588,2.43521685948361,0.0874140638733118,0.414922502217191,1
"(Intercept)1",0.877359295455597,0.7573,0.0599818565889497,-0.0484817753430946,0.553013535693974,0.650682776367154,0.865184831134178,2
"total_sleep_duration1",8.26341344454626e-07,1,0.0599818565889497,-0.0484817753430946,0.553013535693974,0.650682776367154,0.22832241104602,2
"awake_time1",8.6785443360689e-07,1,0.0599818565889497,-0.0484817753430946,0.553013535693974,0.650682776367154,0.205393804213263,2
"restless_sleep1",-4.73759761731169e-05,0.5406,0.0599818565889497,-0.0484817753430946,0.553013535693974,0.650682776367154,-0.134680418579715,2
"(Intercept)2",0.881665932638089,0.0308,0.309780311769824,0.230139578512496,3.88972199400638,0.0201955733927739,0.875299800333632,3
"total_sleep_duration2",1.38905704040551e-06,1,0.309780311769824,0.230139578512496,3.88972199400638,0.0201955733927739,0.473115801133911,3
"awake_time2",-9.97529073352648e-07,1,0.309780311769824,0.230139578512496,3.88972199400638,0.0201955733927739,-0.291020999476038,3
"restless_sleep2",-9.58501507814336e-05,0.1022,0.309780311769824,0.230139578512496,3.88972199400638,0.0201955733927739,-0.335890251577059,3
"(Intercept)3",0.870519660942494,0.8613,0.055453000001513,-0.0535331923060047,0.508807573027651,0.679679369921212,0.855225295667473,4
"total_sleep_duration3",1.99670431863588e-07,1,0.055453000001513,-0.0535331923060047,0.508807573027651,0.679679369921212,0.0705412065665965,4
"awake_time3",4.95258303368031e-07,1,0.055453000001513,-0.0535331923060047,0.508807573027651,0.679679369921212,0.149869164048902,4
"restless_sleep3",4.06337223660194e-05,0.5272,0.055453000001513,-0.0535331923060047,0.508807573027651,0.679679369921212,0.147697437938168,4
"(Intercept)4",0.884840782160167,0.7343,0.0553972112905872,-0.0535954181758835,0.508265664951491,0.680039800796047,0.880463752731875,5
"total_sleep_duration4",-4.15969132247215e-07,1,0.0553972112905872,-0.0535954181758835,0.508265664951491,0.680039800796047,-0.165709989840304,5
"awake_time4",2.3004291095305e-07,1,0.0553972112905872,-0.0535954181758835,0.508265664951491,0.680039800796047,0.0784960555448614,5
"restless_sleep4",5.95368928396211e-05,0.3001,0.0553972112905872,-0.0535954181758835,0.508265664951491,0.680039800796047,0.244023121630165,5
"(Intercept)5",0.855262576466543,0.6701,0.108977844446722,0.00616759572903625,1.05999008664956,0.383030943781688,0.828738367834167,6
"total_sleep_duration5",4.74662881170356e-08,1,0.108977844446722,0.00616759572903625,1.05999008664956,0.383030943781688,0.0119415911501369,6
"awake_time5",9.23922498897606e-07,1,0.108977844446722,0.00616759572903625,1.05999008664956,0.383030943781688,0.199096608775073,6
"restless_sleep5",0.000100539397050345,0.251,0.108977844446722,0.00616759572903625,1.05999008664956,0.383030943781688,0.260237830466171,6
"(Intercept)6",0.885086253335529,0.7408,0.0359044586677295,-0.0753373345629171,0.32276051675368,0.808842856070734,0.887355657701696,7
"total_sleep_duration6",4.50055922063487e-09,1,0.0359044586677295,-0.0753373345629171,0.32276051675368,0.808842856070734,0.00104329645963705,7
