"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","node"
"(Intercept)",0.896691716562383,0.1978,0.121660990729086,0.0203141819670569,1.20044224593945,0.329167352573124,0.931627160823465,1
"total_sleep_duration",-3.04668529299367e-06,1,0.121660990729086,0.0203141819670569,1.20044224593945,0.329167352573124,-0.411080857544016,1
"awake_time",-1.44603314794478e-06,1,0.121660990729086,0.0203141819670569,1.20044224593945,0.329167352573124,-0.167120335601974,1
"restless_sleep",0.000185711648868707,0.26,0.121660990729086,0.0203141819670569,1.20044224593945,0.329167352573124,0.257807786473887,1
"(Intercept)1",0.851735581454564,0.6987,0.0589235853197434,-0.0496621548356708,0.542645703159628,0.657409960493109,0.841449747751779,2
"total_sleep_duration1",3.91233682368315e-07,1,0.0589235853197434,-0.0496621548356708,0.542645703159628,0.657409960493109,0.0676703612323546,2
"awake_time1",-1.35196294812495e-06,1,0.0589235853197434,-0.0496621548356708,0.542645703159628,0.657409960493109,-0.20029884262509,2
"restless_sleep1",3.4527572257072e-05,0.7808,0.0589235853197434,-0.0496621548356708,0.542645703159628,0.657409960493109,0.0614448554246316,2
"(Intercept)2",0.787967230001076,0.6156,0.197260976781373,0.10463724333307,2.1297022851219,0.12075647478808,0.718021639607616,3
"total_sleep_duration2",4.84318027684911e-07,1,0.197260976781373,0.10463724333307,2.1297022851219,0.12075647478808,0.0684838545655687,3
"awake_time2",-3.20200063759273e-08,1,0.197260976781373,0.10463724333307,2.1297022851219,0.12075647478808,-0.0038782014840637,3
"restless_sleep2",0.000277488870259335,0.053,0.197260976781373,0.10463724333307,2.1297022851219,0.12075647478808,0.403701493871165,3
"(Intercept)3",0.739108483912485,0.8052,0.215657459910166,0.125156397592108,2.38292738655661,0.0923532956734063,0.631853450904618,4
"total_sleep_duration3",1.00779593390938e-06,1,0.215657459910166,0.125156397592108,2.38292738655661,0.0923532956734063,0.0944843817079263,4
"awake_time3",3.84619133359478e-06,1,0.215657459910166,0.125156397592108,2.38292738655661,0.0923532956734063,0.308865713897073,4
"restless_sleep3",0.0003186071484049,0.1525,0.215657459910166,0.125156397592108,2.38292738655661,0.0923532956734063,0.307326610139282,4
"(Intercept)4",0.710315491109603,0.9064,0.171883524228073,0.0763316231774657,1.79884986419096,0.172165383891029,0.574447888033393,5
"total_sleep_duration4",-7.7767390613725e-07,1,0.171883524228073,0.0763316231774657,1.79884986419096,0.172165383891029,-0.0471717249807354,5
"awake_time4",1.73755099065087e-06,1,0.171883524228073,0.0763316231774657,1.79884986419096,0.172165383891029,0.0902761817236753,5
"restless_sleep4",0.000683016537803552,0.0715,0.171883524228073,0.0763316231774657,1.79884986419096,0.172165383891029,0.426258131223414,5
"(Intercept)5",0.835464740674906,0.8258,0.0417745516659859,-0.068789923141785,0.377829784283024,0.769740456190311,0.813479555579554,6
"total_sleep_duration5",8.24698208186293e-07,1,0.0417745516659859,-0.068789923141785,0.377829784283024,0.769740456190311,0.0889485128101679,6
"awake_time5",2.26511242128216e-06,1,0.0417745516659859,-0.068789923141785,0.377829784283024,0.769740456190311,0.209259312778183,6
"restless_sleep5",-2.95903888503793e-05,0.8822,0.0417745516659859,-0.068789923141785,0.377829784283024,0.769740456190311,-0.0328360976823453,6
"(Intercept)6",0.915280797561517,0.1152,0.128067022590719,0.0274593713511868,1.27293521926886,0.304316893208516,0.972875027874791,7
"total_sleep_duration6",-1.06745207646978e-06,1,0.128067022590719,0.0274593713511868,1.27293521926886,0.304316893208516,-0.14317039656541,7
"awake_time6",-2.48095961905557e-06,1,0.128067022590719,0.0274593713511868,1.27293521926886,0.304316893208516,-0.285020389991812,7
"restless_sleep6",-0.000107367723863572,0.514,0.128067022590719,0.0274593713511868,1.27293521926886,0.304316893208516,-0.148161652886913,7
"(Intercept)7",0.856835237854925,0.5455,0.0956109134672817,-0.0087416734403396,0.916229451522095,0.446736879264545,0.846396921770036,8
"total_sleep_duration7",-8.25290382733799e-07,1,0.0956109134672817,-0.0087416734403396,0.916229451522095,0.446736879264545,-0.170444849893635,8
"awake_time7",1.11339867419686e-06,1,0.0956109134672817,-0.0087416734403396,0.916229451522095,0.446736879264545,0.196960524325231,8
"restless_sleep7",0.00011300963032118,0.3053,0.0956109134672817,-0.0087416734403396,0.916229451522095,0.446736879264545,0.24013185717145,8
"(Intercept)8",0.846813356489871,0.5564,0.106666240666479,0.00358926843568763,1.03482124433818,0.393532956981243,0.829462858962178,9
"total_sleep_duration8",-2.46253101898463e-07,1,0.106666240666479,0.00358926843568763,1.03482124433818,0.393532956981243,-0.0341409299173853,9
"awake_time8",2.63895893422561e-06,1,0.106666240666479,0.00358926843568763,1.03482124433818,0.393532956981243,0.31338460737267,9
"restless_sleep8",5.36111534338308e-05,0.7282,0.106666240666479,0.00358926843568763,1.03482124433818,0.393532956981243,0.0764726277810292,9
