"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.854485120269085,0.6633,0.0769197885973392,-0.0295894665645065,0.722188775805973,0.547848759672872,0.845242270746573,1
"total_sleep_duration",5.66721003497185e-08,1,0.0769197885973392,-0.0295894665645065,0.722188775805973,0.547848759672872,0.0186188650519546,1
"awake_time",-7.1300784095574e-07,1,0.0769197885973392,-0.0295894665645065,0.722188775805973,0.547848759672872,-0.200645578713816,1
"restless_sleep",5.18205902846305e-05,0.4577,0.0769197885973392,-0.0295894665645065,0.722188775805973,0.547848759672872,0.175163444907211,1
"(Intercept)1",0.869878705376469,0.5765,0.0643867424303332,-0.04356863344309,0.59641997361786,0.623030660288848,0.873956920034282,2
"total_sleep_duration1",-9.07275998130067e-07,1,0.0643867424303332,-0.04356863344309,0.59641997361786,0.623030660288848,-0.238452443238838,2
"awake_time1",-7.08990435361421e-07,1,0.0643867424303332,-0.04356863344309,0.59641997361786,0.623030660288848,-0.159607804651885,2
"restless_sleep1",9.05878091760621e-05,0.3404,0.0643867424303332,-0.04356863344309,0.59641997361786,0.623030660288848,0.244956708545767,2
"(Intercept)2",0.862434167213245,0.6627,0.0655811553896554,-0.0422364036038458,0.608260435515966,0.615635131258868,0.859842765916545,3
"total_sleep_duration2",-1.73238416158906e-07,1,0.0655811553896554,-0.0422364036038458,0.608260435515966,0.615635131258868,-0.0554080716793652,3
"awake_time2",-8.35318408333361e-07,1,0.0655811553896554,-0.0422364036038458,0.608260435515966,0.615635131258868,-0.228840177866188,3
"restless_sleep2",4.72903819392027e-05,0.4858,0.0655811553896554,-0.0422364036038458,0.608260435515966,0.615635131258868,0.155617659610752,3
"(Intercept)3",0.844929997290329,0.3112,0.166930868285708,0.0708075069340592,1.73663161523268,0.184121520827155,0.825047407124854,4
"total_sleep_duration3",8.50691638723197e-07,1,0.166930868285708,0.0708075069340592,1.73663161523268,0.184121520827155,0.311760501202654,4
"awake_time3",1.18669922798342e-06,1,0.166930868285708,0.0708075069340592,1.73663161523268,0.184121520827155,0.372512610605693,4
"restless_sleep3",-2.02890586728111e-05,0.7214,0.166930868285708,0.0708075069340592,1.73663161523268,0.184121520827155,-0.0765011654125756,4
