"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.523174096287259,0.9817,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,0.408342560214047,1
"total_sleep_duration",1.73091533448085e-06,1,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,0.193947393335663,1
"awake_time",2.98377372240836e-06,1,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,0.286368601969833,1
"restless_sleep",-1.39720502666293e-05,0.9446,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,-0.0161074016181494,1
"steps",1.61871411470373e-06,1,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,0.141319478170554,1
"inactive_time",1.42429783779888e-06,0.342,0.106006258271874,-0.0802424379214854,0.569165102567056,0.722786762666376,0.251378483592399,1
"(Intercept)1",0.567722714860565,0.7824,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,0.507538022313722,2
"total_sleep_duration1",1.01742446416368e-06,1,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,0.0836371784742387,2
"awake_time1",-2.03353978113901e-06,1,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,-0.143186232716845,2
"restless_sleep1",7.25875274076988e-05,0.8094,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,0.0613926565932132,2
"steps1",4.42674467668255e-06,1,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,0.283534180178521,2
"inactive_time1",-5.04346351467504e-07,0.788,0.10943059399239,-0.0761046989258627,0.58981012329878,0.70774917076064,-0.0653048214099823,2
"(Intercept)2",0.7068233444602,0.2997,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,0.781955185652426,3
"total_sleep_duration2",8.45389484342788e-07,1,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,0.0895696590047824,3
"awake_time2",-1.46599497160445e-06,1,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,-0.133041751253879,3
"restless_sleep2",-5.78708417947332e-05,0.7802,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,-0.0630842734408212,3
"steps2",-2.75557572021635e-06,1,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,-0.227478407246012,3
"inactive_time2",-1.33648232268092e-06,0.3709,0.0663446443844676,-0.128166888035435,0.34108334636553,0.882852495755569,-0.223041903974543,3
