"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas"
"(Intercept)",0.0634885546409412,0.8534,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.0633961872329049
"total_sleep_duration",-0.000115868707573051,1,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.0166017424731899
"awake_time",-0.00158458461997609,0.2636,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.358085932946636
"restless_sleep",0.00140019745946991,0.6836,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.155600302837799
"pa_mean",0.00420269799334986,0.1545,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.621030797278065
"pa_std",0.000196843874803426,0.9265,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.0340517051003658
"na_mean",-0.000401467587080646,0.9077,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.0431441670396858
"stress_mean",-0.00157375276791058,0.6225,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.1994750083644
"pain_mean",-0.000841182674173047,0.6154,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.204490807464521
"mean_respiratory_rate_brpm",0.000234485711484035,0.8592,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.0518999746112471
"min_respiratory_rate_brpm",0.000244972603904313,0.8688,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.0395667157087946
"max_respiratory_rate_brpm",0.000525359534775914,0.7278,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.12139238117695
"mean_prv_rmssd_ms",-0.000191804610679389,1,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.0268878672833442
"min_prv_rmssd_ms",-0.00075347426759196,0.7463,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,-0.150359056470942
"max_prv_rmssd_ms",0.00124606839459918,0.6552,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.166687662536233
"std_prv_rmssd_ms",0.00037508507804589,0.9077,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.0438297889153265
"resting",0.0418574926882367,0.5224,0.411205640840621,-0.313464339663231,0.567438491870073,0.859111592869973,0.205336482100643
