"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas"
"(Intercept)",0.0550082398769791,0.7053,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.0529678541600467
"total_sleep_duration",0.00270485167132902,0.403,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.322583687139063
"awake_time",0.00034475096633388,0.8344,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.064846830445037
"restless_sleep",-0.000201254767327621,0.9559,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.0186156740736044
"pa_mean",-0.00153666093199769,0.6022,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.189005500022365
"pa_std",-0.00180122228837353,0.4401,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.259355646659618
"na_mean",-0.00457908951457546,0.2723,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.409602097293406
"stress_mean",0.00434340098969371,0.2207,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.458240371422992
"pain_mean",0.00113121190420427,0.5143,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.228896353950973
"mean_respiratory_rate_brpm",-0.000595312721602011,0.6732,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.109674929068485
"min_respiratory_rate_brpm",0.00182300515949722,0.3314,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.245082227662433
"max_respiratory_rate_brpm",0.00346596611989726,0.0454,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.66660806269301
"mean_prv_rmssd_ms",-0.0031591549044731,0.3175,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.368620659557834
"min_prv_rmssd_ms",-2.52481236480434e-05,1,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.00419374203329725
"max_prv_rmssd_ms",0.00230054838731893,0.4526,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,0.256155912973853
"std_prv_rmssd_ms",-0.00157567309468349,0.6424,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.153255880893958
"resting",-0.016162124412187,0.8115,0.51697531941978,-0.077516595140491,0.869608663731234,0.609853814597095,-0.0659937473954406
