"","estimate","p_values","r_squared","adj_r_squared","f_statistic","f_p_value","standardized_betas","net"
"(Intercept)",0.837881642375676,0.4801,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.838923222717851,1
"total_sleep_duration",-0.00273064289394612,0.6234,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.171944456650824,1
"awake_time",0.003829058453913,0.3095,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.38027658181973,1
"restless_sleep",0.0105165831044674,0.1487,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.513607754007333,1
"pa_mean",0.000295651215815618,1,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.0209351742701284,1
"pa_std",-0.00209675743277255,0.5546,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.172623535880859,1
"na_mean",0.000995320388069413,0.8065,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.0720356251573582,1
"stress_mean",0.0011351137469158,0.7156,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.0929914444786546,1
"pain_mean",-0.000466466268310454,1,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.0476166261523757,1
"mean_respiratory_rate_brpm",0.00366990875565472,0.3829,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.243366638337141,1
"min_respiratory_rate_brpm",-0.00554297361983834,0.3561,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.283983068510452,1
"max_respiratory_rate_brpm",-0.0039233007647321,0.3897,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.245352775942111,1
"mean_prv_rmssd_ms",0.00460182256643432,0.4419,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.328584942994538,1
"min_prv_rmssd_ms",0.000121377224261539,0.9823,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,0.00673040980540213,1
"max_prv_rmssd_ms",-0.00197720040372619,0.6277,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.149917108526202,1
"resting",-0.154496400051374,0.2561,0.521381714418827,0.00857640843899865,1.0167244923931,0.490059289310699,-0.333078831635382,1
"(Intercept)1",0.833266094551434,0.5809,0.48198714573587,-0.0730266266899846,0.868423757538845,0.606441123545476,0.8350020990746,2
"total_sleep_duration1",-0.0116864853435843,0.1344,0.48198714573587,-0.0730266266899846,0.868423757538845,0.606441123545476,-0.602158607063533,2
"awake_time1",0.00136933350706938,0.7435,0.48198714573587,-0.0730266266899846,0.868423757538845,0.606441123545476,0.111280874302968,2
